"Reading Date","FCR DO Temperature (degC)","FCR DO Pressure (PSI)","FCR DO Power (V)","FCR DO Dissolved Oxygen (ppm)","FCR DO Temperature (degC)","Temperature Modem (degC)","Vbattery Modem (Volts)","Vcommon Modem (Volts)"
"- null date -","","","","","","","",""
"11/02/15 17:00:00","","","","","","13.104","13.493","12.618"
"- null date -","","","","","","","",""
"11/02/15 16:45:09","12.812","26.478","13.592","9.129","12.970","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 16:30:09","12.812","26.474","13.771","9.120","12.970","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 16:15:09","12.875","26.476","13.860","9.110","12.970","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 16:00:09","12.875","26.475","13.801","9.120","12.970","","",""
"- null date -","","","","","","","",""
"11/02/15 16:00:00","","","","","","13.294","14.053","19.006"
"- null date -","","","","","","","",""
"11/02/15 15:45:09","12.875","26.480","13.830","9.120","12.980","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 15:30:09","12.875","26.479","13.830","9.129","12.960","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 15:15:09","12.875","26.478","13.830","9.129","12.970","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 15:00:09","12.875","26.476","13.801","9.089","12.970","","",""
"- null date -","","","","","","","",""
"11/02/15 15:00:00","","","","","","13.294","14.062","19.286"
"- null date -","","","","","","","",""
"11/02/15 14:45:09","12.875","26.470","13.860","9.080","12.970","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 14:30:09","12.875","26.469","13.860","9.110","12.980","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 14:15:09","12.875","26.466","13.890","9.099","12.970","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 14:00:09","12.875","26.479","13.830","9.099","12.970","","",""
"- null date -","","","","","","","",""
"11/02/15 14:00:00","","","","","","13.958","14.053","19.811"
"- null date -","","","","","","","",""
"11/02/15 13:45:09","12.875","26.479","13.890","9.099","12.970","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 13:30:09","12.812","26.480","13.860","9.080","12.970","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 13:15:09","12.875","26.480","13.890","9.080","12.960","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 13:00:09","12.875","26.483","13.860","9.120","12.960","","",""
"11/02/15 13:00:09","12.875","26.483","13.860","9.120","12.960","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 13:00:00","","","","","","13.579","14.062","19.522"
"11/02/15 13:00:00","","","","","","13.579","14.062","19.522"
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 12:45:09","12.812","26.487","13.950","9.099","12.970","","",""
"11/02/15 12:45:09","12.812","26.487","13.950","9.099","12.970","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 12:30:09","12.875","26.484","13.920","9.040","12.970","","",""
"11/02/15 12:30:09","12.875","26.484","13.920","9.040","12.970","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 12:15:09","12.875","26.488","13.950","8.990","12.960","","",""
"11/02/15 12:15:09","12.875","26.488","13.950","8.990","12.960","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 12:00:09","12.875","26.482","13.890","9.040","12.980","","",""
"11/02/15 12:00:09","12.875","26.482","13.890","9.040","12.980","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 12:00:00","","","","","","13.056","14.062","20.362"
"11/02/15 12:00:00","","","","","","13.056","14.062","20.362"
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 11:45:09","12.875","26.487","13.950","9.049","12.970","","",""
"11/02/15 11:45:09","12.875","26.487","13.950","9.049","12.970","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 11:30:09","12.875","26.493","13.950","9.030","12.970","","",""
"11/02/15 11:30:09","12.875","26.493","13.950","9.030","12.970","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 11:15:09","12.875","26.495","13.860","9.049","12.970","","",""
"11/02/15 11:15:09","12.875","26.495","13.860","9.049","12.970","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 11:00:09","12.875","26.494","13.801","9.070","12.970","","",""
"- null date -","","","","","","","",""
"11/02/15 11:00:00","","","","","","14.099","13.992","15.112"
"- null date -","","","","","","","",""
"11/02/15 10:45:09","12.875","26.486","13.950","9.070","12.960","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 10:30:09","12.875","26.472","13.950","9.049","12.960","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 10:15:09","12.812","26.476","13.801","9.049","12.950","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 10:00:09","12.875","26.479","13.503","9.040","12.950","","",""
"- null date -","","","","","","","",""
"11/02/15 10:00:00","","","","","","14.052","13.615","14.770"
"- null date -","","","","","","","",""
"11/02/15 09:45:09","12.875","26.483","13.473","9.030","12.960","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 09:30:09","12.875","26.473","13.204","9.080","12.960","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 09:15:09","12.812","26.483","13.085","9.070","12.950","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 09:00:09","12.875","26.484","13.175","9.080","12.960","","",""
"- null date -","","","","","","","",""
"11/02/15 09:00:00","","","","","","13.318","13.257","14.254"
"- null date -","","","","","","","",""
"11/02/15 08:45:09","12.812","26.475","13.264","9.059","12.950","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 08:30:09","12.812","26.480","13.204","9.049","12.950","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 08:15:09","12.875","26.480","13.026","9.049","12.950","","",""
