Date,Depth_m,Temp_C,CDOM_ugL,Chla_ugL,Phycoerythrin,Phycocyanin,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,PAR_umolm2s,Salinity,Desc_rate,Flag,Reservoir,Cast_Number
2023-06-27T12:44:42Z,1.259,18.5944,4.59,0.7161,0.0852,1.0575,2.6728,34.792018,39.899,3.6708,38.825,13.233,2.4376046428527514,0.003,0,FCR,3
2023-06-27T12:44:42Z,1.259,18.5962,4.59,0.7314,0.0852,1.0575,2.7179,34.796512,39.908,3.648,38.925,13.358,2.4380842022566105,0.003,0,FCR,3
2023-06-27T12:44:42Z,1.26,18.5975,4.59,0.8,0.0852,1.0575,2.748,34.802729,39.921,3.6344,39.096,13.302,2.438852339403457,0.003,0,FCR,3
2023-06-27T12:44:42Z,1.261,18.5973,4.5,0.7733,0.0426,1.1421,2.6879,34.800442,39.926,3.6289,39.319,13.242,2.4391884263074055,0.004,0,FCR,3
2023-06-27T12:44:42Z,1.262,18.5953,4.5,0.781,0.0426,1.1421,2.6879,34.785081,39.918,3.6308,39.581,13.225,2.43878539994416,0.004,0,FCR,3
2023-06-27T12:44:42Z,1.263,18.5916,4.5,0.7619,0.0426,1.1421,2.6578,34.762452,39.903,3.6404,39.861,13.228,2.438026759024849,0.005,0,FCR,3
2023-06-27T12:44:42Z,1.264,18.5856,4.5,0.7009,0.0426,1.1421,2.7029,34.744344,39.892,3.6568,40.135,13.3,2.437661226244652,0.006,0,FCR,3
2023-06-27T12:44:42Z,1.266,18.5771,4.5,0.6932,0.0852,0.9729,2.6728,34.733848,39.891,3.6783,40.378,13.308,2.4380900504470526,0.007,0,FCR,3
2023-06-27T12:44:42Z,1.267,18.5663,4.5,0.7238,0.0852,0.9729,2.7179,34.728167,39.894,3.7036,40.563,13.454,2.438912437960375,0.008,0,FCR,3
2023-06-27T12:44:42Z,1.269,18.5545,4.5,0.7009,0.0852,0.9729,2.6127,34.723803,39.899,3.7308,40.676,13.407,2.4399232829996227,0.01,0,FCR,3
2023-06-27T12:44:42Z,1.272,18.5429,4.5,0.7085,0.0852,0.9729,2.6578,34.717614,39.899,3.7573,40.72,13.445,2.4405980906066267,0.013,0,FCR,3
2023-06-27T12:44:42Z,1.275,18.5316,4.5,0.7085,0.0852,0.9729,2.6578,34.709928,39.897,3.7808,40.706,13.462,2.4411256881185297,0.016,0,FCR,3
2023-06-27T12:44:42Z,1.279,18.5207,4.59,0.7123,0.0426,1.0152,2.7329,34.700676,39.894,3.799,40.662,13.439,2.4415652010766498,0.02,0,FCR,3
2023-06-27T12:44:42Z,1.284,18.5105,4.59,0.7009,0.0426,1.0152,2.6578,34.68145,39.882,3.8104,40.621,13.436,2.441378810133946,0.025,0,FCR,3
2023-06-27T12:44:42Z,1.291,18.5022,4.59,0.7009,0.0426,1.0152,2.7029,34.643162,39.855,3.8151,40.598,13.329,2.4401060055753963,0.03,0,FCR,3
2023-06-27T12:44:42Z,1.299,18.4952,4.59,0.7123,0.0426,1.0152,2.5977,34.591444,39.819,3.8143,40.594,13.343,2.438171598448586,0.035,0,FCR,3
2023-06-27T12:44:42Z,1.31,18.4869,4.5,0.7428,0.0426,1.0152,2.7029,34.538252,39.788,3.8109,40.608,11.588,2.436637501017386,0.038,0,FCR,3
2023-06-27T12:44:42Z,1.322,18.4751,4.5,0.697,0.0426,1.0152,2.6578,34.493162,39.768,3.8079,40.627,11.915,2.436022045889678,0.04,0,FCR,3
2023-06-27T12:44:42Z,1.334,18.457,4.5,0.7161,0.0426,1.0152,2.252,34.463955,39.764,3.8071,40.619,11.585,2.4368140780015852,0.04,0,FCR,3
