"","Reservoir","Site","DateTime","Depth_m","Rep","RunDate","NH4_ugL","PO4_ugL","NO3NO2_ugL","Notes_lachat","SampleID_lachat","Flag_NH4","Flag_PO4","Flag_NO3NO2","RunDate_DOC","DOC_mgL","DIC_mgL","DC_mgL","DN_mgL","Notes_DOC","SampleID_DOC","Flag_DOC","Flag_DIC","Flag_DC","Flag_DN"
"129","FCR","50",2019-05-27,9,"","2019-10-21",22.9,1.88,1.26,"","",0,0,3,"2019-10-23","2","3.5","5.5","0.1","","",0,0,0,0
"130","FCR","100",2019-05-27,0.1,"","2019-10-07",13,9.2,44.2,"","",0,0,0,"2019-11-05","3.45","1.8","5.25","0.1","","",7,7,7,7
"131","FCR","200",2019-05-27,0.1,"","2019-10-21",31.9,4.26,13.4,"","",0,0,0,"2019-10-21","2.6","4.7","7.4","0.2","","",0,0,0,0
"132","BVR","1",2019-05-30,0.1,"R1","2019-10-14",5.29,0.543,0.684,"","",0,3,3,"2019-10-16","2.8","2.5","5.3","0.1","","",0,0,0,0
"133","BVR","20",2019-05-30,0.1,"R1","2019-10-14",6.58,0.983,0,"","",0,3,3,"2019-10-16","3.2","2.5","5.6","0.2","","",0,0,0,0
"134","BVR","30",2019-05-30,0.1,"R1","2019-10-14",1.94,0.728,1.16,"","",3,3,3,"2020-03-20","2.1","2.4","4.5","0.1","","B 30may19 30 s r1",0,0,0,0
"135","BVR","45",2019-05-30,0.1,"R1","2019-10-14",6.09,1.88,2.32,"","",0,0,3,"2020-03-18","2.5","2.65","5.1","0.15","","B 30may19 45 s r1",7,7,7,7
"136","BVR","50",2019-05-30,0.1,"R1","2019-10-21",6.11,0.487,0,"","",0,3,3,"2019-10-21","2.7","2.6","5.3","0.1","","",0,0,0,0
"137","BVR","50",2019-05-30,3,"","2019-10-21",7.08,0,0.179,"","",0,3,3,"2019-10-24","2.9","2.7","5.6","0.2","","",0,0,0,0
"138","BVR","50",2019-05-30,6,"","2019-10-21",9.36,0,1.17,"","",0,3,3,"2019-10-21","2.8","2.8","5.6","0.2","","",0,0,0,0
"139","BVR","50",2019-05-30,9,"","2019-10-21",185,2.31,0.535,"","",0,0,3,"2019-10-21","2.4","3.5","5.9","0.3","","",0,0,0,0
